income,age,loan_amount,credit_history,approved
5745.071229516849,59,7852,2,1
4792.603548243223,30,3551,1,0
5971.532807151039,22,7411,2,1
7284.544784612038,25,1007,2,0
4648.769937914996,28,9087,1,0
4648.794564576229,25,3555,2,1
7368.819223261087,28,1475,2,0
6151.152093729363,58,6416,2,0
4295.788421097572,50,9676,1,1
5813.840065378947,51,8239,0,1
4304.873460781307,31,7710,0,0
4301.405369644614,27,6000,1,1
5362.943407349051,27,5654,0,0
2130.079633013303,47,9078,2,1
2412.623251230451,39,7063,0,0
4156.568706138541,26,3285,2,0
3480.7533194983644,30,6223,0,1
5471.37099889291,39,7971,1,0
3637.963886718184,35,4525,0,0
2881.544447997063,23,3822,0,1
7198.473153382331,25,5943,0,1
4661.335549270197,41,7530,1,0
5101.292307031886,45,1258,0,1
2862.877720679815,22,1282,1,1
4183.425913212226,33,2898,2,0
5166.383884564799,30,5135,0,0
3273.5096338665458,37,7629,1,1
5563.547027518508,31,4200,1,1
4099.041965121793,42,6110,0,1
4562.459375310085,31,8167,2,0
4097.440081655905,32,1612,1,0
7778.417276763406,44,1687,0,0
4979.754162893099,38,4690,2,0
3413.433606566149,55,9804,1,0
6233.817368154783,27,3307,1,0
3168.7345250434664,48,8133,2,0
5313.295392507133,51,7509,2,1
2060.494814180337,37,6906,0,1
3007.720926652354,25,3591,0,0
5295.291853803686,37,8183,1,0
6107.699869993116,38,6248,2,0
5257.052421784956,41,9766,2,1
4826.52757641764,56,6108,2,0
4548.344456616067,51,4604,1,1
2782.217014448859,22,1669,2,1
3920.233687407937,47,5364,2,1
4309.041843560319,29,8329,1,1
6585.683339328374,54,2283,0,1
5515.427434352692,48,1923,0,0
2355.439766955899,34,2125,1,0
5486.125954092193,52,2529,2,1
4422.376579375526,26,9438,1,0
3984.616999541062,31,4711,0,1
5917.514433261302,49,9004,0,1
6546.499283743927,40,7274,1,0
6396.920178674298,50,4864,1,0
3741.173715166042,43,8833,0,0
4536.181436223178,39,7788,1,0
5496.895147105346,56,1226,0,0
6463.317690683539,23,1264,1,1
4281.238643232065,47,1645,1,0
4721.511535004274,39,8544,1,0
3340.4975389909578,43,6569,0,0
3205.690063878994,51,3990,1,1
6218.7887335912965,55,3504,0,0
7034.360042856235,53,1587,0,1
4891.984817629499,55,5079,1,0
6505.299346838036,21,4348,1,0
5542.454037571451,34,7299,0,1
4032.3203680923134,53,4831,0,0
5542.093408262621,55,9381,2,0
7307.054849698954,25,2715,0,1
4946.260941335073,58,7450,2,0
7346.965483721009,31,6433,2,1
1070.3823438653835,22,2098,2,1
6232.853756562836,37,8096,1,1
5130.570602357257,59,3326,1,1
4551.488974301199,40,7416,0,1
5137.641164803254,34,7980,2,0
2018.6466280986608,52,7763,1,0
4670.4921682437325,54,2674,1,0
5535.668857267619,45,8950,1,1
7216.841067112275,27,9915,1,1
4222.594672589529,55,7049,1,1
3787.2595956602186,49,2089,2,1
4247.364434623195,42,5578,2,0
6373.103176553112,33,1155,2,0
5493.126664489527,33,2958,2,1
4205.359694349442,21,7344,0,1
5769.901149670034,56,6779,2,0
5145.61632402206,24,7144,1,1
6452.967485799334,57,6063,2,1
3946.9203591839714,33,4830,0,1
4508.506780103347,58,9831,1,0
4411.837770301763,44,7659,2,0
2804.727577801822,39,1441,2,1
5444.180415596864,21,7040,2,0
5391.582908269834,58,6925,1,1
5007.670184963691,25,8358,1,1
4648.11929993728,36,5628,0,0
2876.9438869243786,44,7370,1,1
4369.032015851962,47,1948,1,1
4485.928225209846,21,9179,2,0
3796.584096167572,54,7115,1,1
4758.071432500987,56,1459,2,1
5606.076285221808,24,8568,2,1
7829.278851815796,20,5646,1,0
5261.866719247759,59,1392,0,1
5386.325586084146,31,2787,0,0
4888.331126350749,55,8374,1,1
2121.8431770514376,42,2138,0,1
4960.229186826175,50,5741,2,1
5090.345314911539,30,8418,2,1
8694.86316872793,29,7362,1,0
4711.458552828316,22,3454,0,0
5452.321013500418,33,4674,0,1
4947.932345442135,35,2377,2,1
3246.982943570702,29,7701,1,1
6714.234221772531,48,3597,0,1
6127.899549030161,29,1141,1,1
6186.547920564571,31,3659,0,1
3635.918817807892,49,5596,2,1
7104.191466404149,20,6661,2,1
2897.2234058115787,24,7142,1,0
5880.285640700406,39,6626,2,0
8285.683438714968,27,9787,0,0
3514.1955123039675,31,9472,2,1
4150.553405595842,20,1423,1,1
5149.477047631462,39,7999,1,1
4244.786518825701,47,5249,1,0
2674.004853400801,56,2750,0,1
5102.844462209041,56,5757,0,0
3406.544429410843,31,2967,0,1
5710.388645952772,56,5088,0,0
3620.863648649295,47,5178,0,0
7324.90160752631,34,8789,2,0
3825.120061495644,25,3946,0,1
4516.907725691487,39,6394,0,0
